track_id,track_name,track_preview,album_id,,
2m2neHY8NvToPYO1H0XCkq,"Quando, Quando, Quando (with Nelly Furtado)",https://p.scdn.co/mp3-preview/0ebefcb7d450d61bb63385b458b64b484217129d?cid=c0ef6b3167de4affb312e7fc7366abb4,2koUTBXkwUt2uJYv0uezHx,,
4wLZ4zPM9c4oe1VV8ejdWV,Home,https://p.scdn.co/mp3-preview/07d87ee0985a6ff28152775f2f364c3d32d42059?cid=c0ef6b3167de4affb312e7fc7366abb4,2koUTBXkwUt2uJYv0uezHx,,
242x0kB2MzkyihRPUWCzAN,Can't Buy Me Love,https://p.scdn.co/mp3-preview/17a2034dbb4f379a1127196fc61ae64463336d60?cid=c0ef6b3167de4affb312e7fc7366abb4,2koUTBXkwUt2uJYv0uezHx,,
2e4FBygHA19B233VpRmEMC,The More I See You,https://p.scdn.co/mp3-preview/d0a84c46a717abc7ae0fab1d9c2db17d303fd277?cid=c0ef6b3167de4affb312e7fc7366abb4,2koUTBXkwUt2uJYv0uezHx,,
1NnBOnFPFdYJdauawQt5bN,Save the Last Dance for Me,https://p.scdn.co/mp3-preview/e220c05eee639b69ba05055d0c279120006e14b6?cid=c0ef6b3167de4affb312e7fc7366abb4,2koUTBXkwUt2uJYv0uezHx,,
06SUI39R57c9Jm3l3r6Iyo,Try a Little Tenderness,https://p.scdn.co/mp3-preview/016ccea4fe86292d7056b2c307401f69a9de0453?cid=c0ef6b3167de4affb312e7fc7366abb4,2koUTBXkwUt2uJYv0uezHx,,
04XRimcx9QuSrtUvWpdkmS,How Sweet It Is,https://p.scdn.co/mp3-preview/62a35629c4fdeed55e85680216b8651ed1ab31a7?cid=c0ef6b3167de4affb312e7fc7366abb4,2koUTBXkwUt2uJYv0uezHx,,
3axj7Y0XGbrS6PQ2pXFwvC,A Song for You (feat. Chris Botti),https://p.scdn.co/mp3-preview/e4596706568db2ad8b4184aead6ce615acc938e9?cid=c0ef6b3167de4affb312e7fc7366abb4,2koUTBXkwUt2uJYv0uezHx,,
36iZr5SC8qowAel5GaZSgz,I've Got You Under My Skin,https://p.scdn.co/mp3-preview/23ec1af50ba4e63426cafe1e0b9bf7246ebd9c2e?cid=c0ef6b3167de4affb312e7fc7366abb4,2koUTBXkwUt2uJYv0uezHx,,
4t5ZKs0xMESWicljP2uBEl,You and I,https://p.scdn.co/mp3-preview/604f5f3fb7388545cc91a2ca8207163c1413a0cf?cid=c0ef6b3167de4affb312e7fc7366abb4,2koUTBXkwUt2uJYv0uezHx,,
6uQKuonTU8VKBz5SHZuQXD,This Is How We Do It,,4GZFWGyRE8SfRw8wEu3WoL,,
2LXeLBAx6MgyY6qij61ast,This Is How We Do It - Instrumental,,4GZFWGyRE8SfRw8wEu3WoL,,
7nKe5iDfC0OzCQIz5ZzOTx,I Wanna,,4GZFWGyRE8SfRw8wEu3WoL,,
2kfofu1mHbxN4pFhkKYiRV,This Is How We Do It - Acapella,,4GZFWGyRE8SfRw8wEu3WoL,,
1zNXF2svmdlNxfS5XeNUgr,Don't Know Why,,3ArSFkv4OQOosOvYTrZNIl,,
3oBsEd0mQKKge4HSSt5yV8,Seven Years,,3ArSFkv4OQOosOvYTrZNIl,,
4cOtcRXI3a2v1gEsI1Meeo,Cold Cold Heart,,3ArSFkv4OQOosOvYTrZNIl,,
57Uj1R74XAM4cSkgSWgAF7,Feelin' The Same Way,,3ArSFkv4OQOosOvYTrZNIl,,
6jGnykaS6TkWp15utXSAeI,Come Away With Me,,3ArSFkv4OQOosOvYTrZNIl,,
6Ji1sHZczmntLaTrQa1uLg,Shoot The Moon,,3ArSFkv4OQOosOvYTrZNIl,,
1qzHqfvKrZWo6dVHM1dXrj,Turn Me On,,3ArSFkv4OQOosOvYTrZNIl,,
2ZkMAgbPbyjvLGesNMsAi7,Lonestar,,3ArSFkv4OQOosOvYTrZNIl,,
15UqRQqmOTK7DzzA235r3e,I've Got To See You Again,,3ArSFkv4OQOosOvYTrZNIl,,
4Zd7V4DsYsa2TwBWus5sCM,Painter Song,,3ArSFkv4OQOosOvYTrZNIl,,
19o4ndOJPZoIixFDMfi8C0,One Flight Down,,3ArSFkv4OQOosOvYTrZNIl,,
